id,word,meaning1,meaning2,meaning3,level
1,a,bir,herhangi bir,her bir,A1
2,five,beş,beşli,beş sayısı,A1
3,television,televizyon,tv,televizyon cihazı,A1
4,fishing,balık tutma,balıkçılık,oltacılık,A1
5,fish,balık,balık tutmak,balık avlamak,A1
6,tell,söylemek,anlatmak,bildirmek,A1
7,first,ilk,birinci,öncelikle,A1
8,temple,tapınak,mabet,şakak,A1
9,fire,ateş,yangın,ateşlemek,A1
10,finish,bitirmek,sona ermek,bitiş,A1
11,ten,on,onlu,on sayısı,A1
12,fine,iyi,ince,ceza,A1
13,find,bulmak,rastlamak,keşfetmek,A1
14,fill,doldurmak,dolmak,kaplamak,A1
15,file,dosya,dosyalamak,törpü,A1
16,tennis,tenis,tenis oyunu,kort oyunu,A1
17,fight,dövüşmek,kavga,mücadele,A1
18,fifty,elli,ellili,elli sayısı,A1
19,fifteen,on beş,on beşli,on beş sayısı,A1
20,field,tarla,alan,saha,A1
21,fever,ateş,yüksek ateş,humma,A1
22,festival,festival,şenlik,kutlama,A1
23,terrible,korkunç,berbat,çok kötü,A1
24,feeling,his,duygu,hissetme,A1
25,flag,bayrak,sancak,simgelemek,A1
26,feel,hissetmek,sezmek,algılamak,A1
27,telephone,telefon,telefon etmek,aramak,A1
28,technology,teknoloji,teknik bilgi,teknoloji bilimi,A1
29,tall,uzun,uzun boylu,yüksek,A1
30,free,özgür,ücretsiz,serbest,A1
31,fourteen,on dört,on dörtlü,on dört sayısı,A1
32,four,dört,dörtlü,dört sayısı,A1
33,forty,kırk,kırklı,kırk sayısı,A1
34,form,form,biçim,oluşturmak,A1
35,forget,unutmak,aklından çıkmak,ihmal etmek,A1
36,foreigner,yabancı,yabancı kimse,el,A1
37,foreign,yabancı,dış,yurt dışı,A1
38,taxi,taksi,ticari oto,taksiyle gitmek,A1
39,for,için,çünkü,amacıyla,A1
40,tea,çay,çay yaprağı,beş çayı,A1
41,football,futbol,top oyunu,Amerikan futbolu,A1
42,teach,öğretmek,ders vermek,eğitmek,A1
43,food,yemek,gıda,besin,A1
44,teacher,öğretmen,hoca,eğitmen,A1
45,team,takım,ekip,grup,A1
46,following,takip eden,sonraki,aşağıdakiler,A1
47,foggy,sisli,dumanlı,bulanık,A1
48,focus,odaklanmak,odak,odak noktası,A1
49,fly,uçmak,sinek,uçurmak,A1
50,flower,çiçek,çiçek açmak,gelişmek,A1
51,floor,"zemin, yer",kat,"taban, döşeme",A1
52,flat,"daire, ev","düz, yassı","sönük, inik",A1
53,Friday,Cuma,cuma günü,cumaları,A1
54,feed,beslemek,doyurmak,yem vermek,A1
55,favorite/favourite,"favori, gözde",en sevilen,beğenilen,A1
56,thick,kalın,"yoğun, koyu","sık, gür",A1
57,expensive,pahalı,masraflı,yüksek fiyatlı,A1
58,thin,ince,"zayıf, cılız","akışkan, seyrek",A1
59,thing,"şey, nesne","eşya, madde","durum, olay",A1
60,think,düşünmek,"sanmak, zannetmek","inanmak, saymak",A1
61,exercise,"egzersiz, spor","alıştırma, çalışma","uygulamak, kullanmak",A1
62,thirteen,on üç,on üçlü,on üç sayısı,A1
63,excuse,"mazeret, bahane","affetmek, bağışlamak",izin vermek,A1
64,thirty,otuz,otuzlu,otuz sayısı,A1
65,this,bu,bunu,buna,A1
66,those,onlar,şunlar,o kişiler,A1
67,exciting,heyecanlı,heyecan verici,coşturucu,A1
68,excited,heyecanlı,coşkulu,heyecanlanmış,A1
69,excellent,mükemmel,"harika, kusursuz","üstün, fevkalade",A1
70,example,örnek,"emsal, misal","numune, model",A1
71,three,üç,üçlü,üç sayısı,A1
72,everywhere,her yer,her yere,her yerde,A1
73,everything,her şey,her şeyi,bütün eşyalar,A1
74,everyone,herkes,her kişi,her bir kimse,A1
75,everyday,günlük,her günkü,"olağan, sıradan",A1
76,everybody,herkes,her insan,hepsi,A1
77,every,her,her bir,"bütün, tüm",A1
78,event,"etkinlik, organizasyon","olay, hadise","yarışma, müsabaka",A1
79,they,onlar,kendileri,o kişiler,A1
80,February,Şubat,şubat ayı,ikinci ay,A1
81,these,bunlar,bu insanlar,bu eşyalar,A1
82,then,"sonra, ardından",o zaman,"öyleyse, o halde",A1
83,father,baba,"ata, peder",kurucu,A1
84,test,"test, sınav","deneme, kontrol",test etmek,A1
85,fat,"şişman, kilolu",yağlı,"yağ, iç yağı",A1
