headword,CEFR
frame,A2
tram,A2
tape,A2
basic,A2
snack,A2
missing,A2
target,A2
forward,A2
basically,A2
fortune,A2
barber,A2
barbecue,A2
source,A2
anywhere,A2
surfing,A2
gun,A2
luckily,A2
anyway,A2
lunchtime,A2
guidebook,A2
sound,A2
lyric,A2
surname,A2
badly,A2
guard,A2
anymore,A2
surprised,A2
surprising,A2
badminton,A2
mad,A2
magic,A2
grocery store,A2
grilled,A2
main course,A2
bake,A2
while,A2
low,A2
lover,A2
apart,A2
local,A2
support,A2
hardly,A2
lock,A2
happiness,A2
happily,A2
logical,A2
apologize/apologise,A2
loose,A2
handle,A2
lose,A2
greedy,A2
handicapped,A2
handbag,A2
ham,A2
half-price,A2
background,A2
loudly,A2
south,A2
apartment,A2
lost,A2
folder,A2
mainly,A2
major,A2
married,A2
marry,A2
golf,A2
golden,A2
sweat,A2
marvelous/marvellous,A2
sweater,A2
someday,A2
somebody,A2
glove,A2
solution,A2
sweetheart,A2
globe,A2
material,A2
soldier,A2
banking,A2
max,A2
swimming costume,A2
whatever,A2
given,A2
swimsuit,A2
wheelchair,A2
good-looking,A2
market,A2
mark,A2
survive,A2
anxious,A2
grateful,A2
maker,A2
make-up,A2
male,A2
mall,A2
granny,A2
grandson,A2
balcony,A2
manage,A2
granddaughter,A2
greatly,A2
granddad,A2
manager,A2
gram/gramme,A2
manner,A2
graduate,A2
gradually,A2
somewhere,A2
balloon,A2
grace,A2
within,A2
without,A2
government,A2
swallow,A2
grandchild,A2
shall,A2
produce,A2
uncomfortable,A2
cheque,A2
roll,A2
receptionist,A2
crown,A2
crowded,A2
crowd,A2
chess,A2
chest,A2
scissors,A2
recently,A2
recent,A2
cross,A2
receive,A2
criticize/criticise,A2
pour,A2
receipt,A2
abroad,A2
scientific,A2
cruise,A2
scream,A2
robbery,A2
portrait,A2
cheek,A2
robin,A2
position,A2
cheer,A2
rock,A2
chef,A2
cupboard,A2
chemical,A2
possible,A2
uncertain,A2
possibly,A2
act,A2
post office,A2
across,A2
crisp,A2
power,A2
powerful,A2
cigarette,A2
understand,A2
predict,A2
prediction,A2
schedule,A2
bra,A2
underwater,A2
court,A2
prefer,A2
couple,A2
scenery,A2
countryside,A2
scene,A2
country,A2
citizen,A2
reach,A2
precise,A2
schoolchild,A2
crazy,A2
childhood,A2
chili/chilli,A2
crime,A2
cricket,A2
romance,A2
chimpanzee,A2
chin,A2
schoolwork,A2
record,A2
chirp,A2
creature,A2
choice,A2
creativity,A2
romantic,A2
creative,A2
create,A2
realize/realise,A2
roof,A2
credit,A2
population,A2
curry,A2
curse,A2
bored,A2
twice,A2
pleased,A2
chain,A2
pleasing,A2
debate,A2
death,A2
plenty,A2
chairman,A2
deal,A2
challenge,A2
refrigerator,A2
actually,A2
dead,A2
boss,A2
seaside,A2
pleasant,A2
decide,A2
certainly,A2
certain,A2
pity,A2
addition,A2
deeply,A2
deep,A2
tune,A2
planet,A2
plural,A2
plant,A2
center/centre,A2
centimeter/centimetre,A2
plastic,A2
plate,A2
century,A2
cereal,A2
playful,A2
playground,A2
cent,A2
count,A2
champagne,A2
plus,A2
complain,A2
political,A2
script,A2
chart,A2
recycle,A2
roast,A2
pollute,A2
rob,A2
chat,A2
screw,A2
cheap,A2
customer,A2
custom,A2
verb,A2
popular,A2
screen,A2
polite,A2
daily,A2
dam,A2
search,A2
championship,A2
chance,A2
bother,A2
reflect,A2
seafood,A2
road,A2
daylight,A2
dangerous,A2
chapter,A2
refer,A2
police,A2
dancer,A2
police officer,A2
police station,A2
policeman,A2
policewoman,A2
danger,A2
regret,A2
scarf,A2
prepare,A2
quietly,A2
promise,A2
ruin,A2
pronounce,A2
pronunciation,A2
confused,A2
confuse,A2
colorful/colourful,A2
column,A2
proper,A2
quick,A2
comb,A2
unnecessary,A2
upstairs,A2
account,A2
confident,A2
quit,A2
unpleasant,A2
wallet,A2
salt,A2
product,A2
production,A2
coin,A2
accept,A2
professional,A2
unknown,A2
unlike,A2
consist,A2
cola,A2
sample,A2
acceptable,A2
consider,A2
rugby,A2
quiz,A2
quite,A2
consequence,A2
progressive,A2
sake,A2
comfortable,A2
queen,A2
wander,A2
sadly,A2
company,A2
publish,A2
comparative,A2
composer,A2
compare,A2
unusual,A2
pull,A2
pursue,A2
rush,A2
purpose,A2
competition,A2
punctuation,A2
complete,A2
public,A2
communication,A2
safe,A2
communicate,A2
sailing,A2
comic,A2
condition,A2
rumor/rumour,A2
accident,A2
upset,A2
runner,A2
brave,A2
racket,A2
quality,A2
commitment,A2
committee,A2
concern,A2
common,A2
provide,A2
running,A2
concentrate,A2
psychologist,A2
upon,A2
used,A2
panic,A2
royal,A2
pretend,A2
clerk,A2
brainstorm,A2
click,A2
prevent,A2
unforgettable,A2
brake,A2
rap,A2
unfortunately,A2
sausage,A2
pride,A2
cooler,A2
unhappy,A2
branch,A2
scale,A2
unfair,A2
clearly,A2
pressure,A2
ray,A2
raw,A2
claim,A2
root,A2
valley,A2
rope,A2
classic,A2
rating,A2
cooking,A2
cost,A2
rather,A2
achieve,A2
uneasy,A2
rate,A2
brilliant,A2
cleaner,A2
correctly,A2
clear,A2
classical music,A2
value,A2
cooker,A2
brand,A2
raincoat,A2
clue,A2
unit,A2
walking,A2
private,A2
continue,A2
usual,A2
continent,A2
context,A2
pro,A2
probably,A2
sandy,A2
container,A2
coast,A2
contact,A2
useful,A2
university,A2
clown,A2
printer,A2
breeze,A2
contrast,A2
unhealthy,A2
roughly,A2
range,A2
sauce,A2
uniform,A2
clone,A2
bride,A2
round,A2
climbing,A2
unimportant,A2
raise,A2
youth,A2
convenience,A2
principal,A2
satisfy,A2
roundabout,A2
control,A2
print,A2
convenient,A2
cycling,A2
complaint,A2
advantage,A2
remain,A2
trick,A2
bookshelf,A2
disadvantage,A2
response,A2
seek,A2
disagree,A2
patient,A2
disappear,A2
pass,A2
senior,A2
seem,A2
admit,A2
description,A2
developed,A2
remind,A2
discussion,A2
violent,A2
desert,A2
develop,A2
rhythm,A2
pepper,A2
reunion,A2
dishonest,A2
diamond,A2
cash,A2
photography,A2
dentist,A2
dislike,A2
pence,A2
photographer,A2
penfriend/pen friend,A2
sense,A2
calendar,A2
seed,A2
sew,A2
village,A2
budget,A2
partly,A2
photograph,A2
department store,A2
bug,A2
carrot,A2
reveal,A2
depend,A2
truly,A2
represent,A2
petrol station,A2
petrol,A2
cab,A2
captain,A2
path,A2
dessert,A2
permission,A2
destroy,A2
perfectly,A2
disco,A2
adult,A2
perform,A2
capital letter,A2
traveler/traveller,A2
advanced,A2
perhaps,A2
capital,A2
replace,A2
perfume,A2
detail,A2
pasta,A2
reply,A2
disappointing,A2
return,A2
semester,A2
passage,A2
passenger,A2
bulb,A2
trap,A2
violin,A2
ability,A2
remote,A2
cafeteria,A2
send,A2
trust,A2
trouble,A2
car park,A2
rent,A2
discover,A2
repair,A2
bookcase,A2
several,A2
personality,A2
disappointed,A2
admire,A2
perfect,A2
report,A2
visitor,A2
performance,A2
cassette,A2
physical,A2
bus station,A2
bus stop,A2
bush,A2
treasure,A2
research,A2
serve,A2
bookshop,A2
businessman,A2
washing-up,A2
diet,A2
die,A2
truth,A2
delay,A2
video game,A2
bonus,A2
secret,A2
cause,A2
differently,A2
voice,A2
pilgrim,A2
degree,A2
pear,A2
pile,A2
bury,A2
digital camera,A2
adventure,A2
shadow,A2
secretary,A2
dinosaur,A2
pilot,A2
washing machine,A2
shade,A2
difficulty,A2
campus,A2
yeah,A2
view,A2
request,A2
retire,A2
direct,A2
release,A2
part,A2
castle,A2
writing,A2
adjective,A2
diary,A2
businesswoman,A2
regular,A2
director,A2
separate,A2
additional,A2
adjust,A2
right-hand,A2
vocabulary,A2
physically,A2
zone,A2
display,A2
retired,A2
pill,A2
PC,A2
seriously,A2
direction,A2
pea,A2
relaxed,A2
regularly,A2
peaceful,A2
camping,A2
relax,A2
windsurfing,B1
academy,B1
logo,B1
respect,B1
southwest,B1
resort,B1
apology,B1
southern,B1
resource,B1
loyal,B1
routine,B1
rank,B1
loyalty,B1
rescue,B1
jewel,B1
accent,B1
loss,B1
stall,B1
academic,B1
jealous,B1
loudspeaker,B1
resist,B1
jazz,B1
jar,B1
ivory,B1
resident,B1
windscreen,B1
luggage,B1
rainfall,B1
jail/gaol,B1
rainforest,B1
loud,B1
residential,B1
lottery,B1
artistic,B1
researcher,B1
reserve,B1
reunify,B1
southeast,B1
rage,B1
reunification,B1
sour,B1
rough,B1
resemble,B1
lorry,B1
